字	罗马字	拟音	注
考	k'o[3]	kʰɔ[3]	
洘	k'o[3]	kʰɔ[3]	□tʃʰɛn2~：田渴
拷	k'o[5]	kʰɔ[5]	
靠	k'o[5]	kʰɔ[5]	
铐	k'o[5]	kʰɔ[5]	
俄	ngo[2]	ŋɔ[2]	
熬	ngo[2]	ŋɔ[2]	
嚣	ngo[2]	ŋɔ[2]	
我	ngo[3]	ŋɔ[3]	
饿	ngo[6]	ŋɔ[6]	
傲	ngo[6]	ŋɔ[6]	
鏊	ngo[6]	ŋɔ[6]	
何	ho[2]	hɔ[2]	
荷	ho[2]	hɔ[2]	~兰
豪	ho[2]	hɔ[2]	~猪
壕	ho[2]	hɔ[2]	
好	ho[3]	hɔ[3]	形容词
好	ho[5]	hɔ[5]	动词
贺	ho[6]	hɔ[6]	
号	ho[6]	hɔ[6]	～码
阿	∅o[1]	ʔɔ[1]	~顺
河	∅o[2]	ʔɔ[2]	
袄	∅o[3]	ʔɔ[3]	
奥	∅o[5]	ʔɔ[5]	
澳	∅o[5]	ʔɔ[5]	
簸	puo[5]	puɔ[5]	～箕
破	p'uo[5]	pʰuɔ[5]	
磨	muo[2]	muɔ[2]	动词
麻	muo[2]	muɔ[2]	一种植物
痲	muo[2]	muɔ[2]	出~
舵	tuo[6]	tuɔ[6]	
大	tuo[6]	tuɔ[6]	1
拖	t'uo[1]	tʰuɔ[1]	
挪	nuo[2]	nuɔ[2]	1
箩	luo[2]	luɔ[2]	
了	luo[3]	luɔ[3]	1助词
抓	chuo[1]	tʃuɔ[1]	1～阄
沙	suo[1]	suɔ[1]	
砂	suo[1]	suɔ[1]	1
痧	suo[1]	suɔ[1]	1
鲨	suo[1]	suɔ[1]	
洒	suo[3]	suɔ[3]	
瓜	kuo[1]	kuɔ[1]	
寡	kuo[3]	kuɔ[3]	
剐	kuo[3]	kuɔ[3]	
个	kuo[5]	kuɔ[5]	3单～
挂	kuo[5]	kuɔ[5]	
卦	kuo[5]	kuɔ[5]	
夸	k'uo[1]	kʰuɔ[1]	
跨	k'uo[1]	kʰuɔ[1]	
艐	k'uo[5]	kʰuɔ[5]	船搁浅
□	k'uo[5]	kʰuɔ[5]	靠
花	huo[1]	huɔ[1]	
华	huo[2]	huɔ[2]	～丽
铧	huo[2]	huɔ[2]	
化	huo[5]	huɔ[5]	
□	huo[5]	huɔ[5]	那么
瓦	buo[6]	wuɔ[6]	
画	buo[6]	wuɔ[6]	
话	buo[6]	wuɔ[6]	
□	moi[6]	mɔi[6]	~□liʔ7了：没有了
堆	toi[1]	tɔi[1]	
对	toi[5]	tɔi[5]	
□	toi[5]	tɔi[5]	块
□	toi[5]	tɔi[5]	哪里
□	toi[5]	tɔi[5]	□tɛn2~:地方
代	toi[6]	tɔi[6]	1后～
袋	toi[6]	tɔi[6]	
推	t'oi[1]	tʰɔi[1]	
退	t'oi[5]	tʰɔi[5]	
□	noi[2]	nɔi[2]	~核:睾丸
内	noi[6]	nɔi[6]	
螺	loi[2]	lɔi[2]	
雷	loi[2]	lɔi[2]	2
擂	loi[2]	lɔi[2]	
□	loi[6]	lɔi[6]	钻，动词
最	choi[5]	tʃɔi[5]	
罪	choi[6]	tʃɔi[6]	
催	ch'oi[1]	tʃʰɔi[1]	
碎	ch'oi[5]	tʃʰɔi[5]	1
衰	soi[1]	sɔi[1]	
赛	soi[5]	sɔi[5]	～岐：地名；～台
碎	soi[5]	sɔi[5]	2
帅	soi[5]	sɔi[5]	
坐	soi[6]	sɔi[6]	1
盔	k'oi[1]	kʰɔi[1]	
诙	k'oi[1]	kʰɔi[1]	～谐
爱	∅oi[5]	ʔɔi[5]	1要
□	poe[2]	pœ[2]	~□lœk8钻：钻，一种工具
苎	toe[6]	tœ[6]	
驴	loe[2]	lœ[2]	
鑢	loe[5]	lœ[5]	
助	choe[6]	tʃœ[6]	
初	ch'oe[1]	tʃʰœ[1]	
妻	ch'oe[1]	tʃʰœ[1]	
□	ch'oe[2]	tʃʰœ[2]	倒，斟
楚	ch'oe[3]	tʃʰœ[3]	1清~
梳	soe[1]	sœ[1]	
疏	soe[1]	sœ[1]	
蔬	soe[1]	sœ[1]	
西	soe[1]	sœ[1]	
犀	soe[1]	sœ[1]	
□	soe[5]	sœ[5]	耖
□	k'oe[2]	kʰœ[2]	傻
□	ngoe[2]	ŋœ[2]	□liŋ3~:老鹰
哈	hoe[2]	hœ[2]	张口呼气
喉	hoe[2]	hœ[2]	~咙
□	hoe[6]	hœ[6]	～名：外号
蓖	pei[1]	pe[1]	～麻
碑	pei[1]	pe[1]	
卑	pei[1]	pe[1]	
婢	pei[1]	pe[1]	
脾	pei[2]	pe[2]	
痹	pei[5]	pe[5]	
秘	pei[5]	pe[5]	
泌	pei[5]	pe[5]	
敝	pei[6]	pe[6]	
弊	pei[6]	pe[6]	
币	pei[6]	pe[6]	
被	pei[6]	pe[6]	介词
备	pei[6]	pe[6]	
篦	pei[6]	pe[6]	~梳：篦子
悲	p'ei[1]	pʰe[1]	
菲	p'ei[1]	pʰe[1]	~薄
皮	p'ei[2]	pʰe[2]	2顽～
疲	p'ei[2]	pʰe[2]	
譬	p'ei[5]	pʰe[5]	
屁	p'ei[5]	pʰe[5]	2
鼻	p'ei[5]	pʰe[5]	
迷	mei[2]	me[2]	
糜	mei[2]	me[2]	2~粥：稀饭
弥	mei[2]	me[2]	
眉	mei[2]	me[2]	
维	mei[2]	me[2]	
唯	mei[2]	me[2]	
遗	mei[2]	me[2]	
微	mei[2]	me[2]	
薇	mei[2]	me[2]	蔷~
媚	mei[6]	me[6]	
寐	mei[6]	me[6]	
□	mei[6]	me[6]	～水底：潜水
沕	mei[6]	me[6]	校补，便于匹配：～水底：潜水
知	tei[1]	te[1]	
蜘	tei[1]	te[1]	
迟	tei[2]	te[2]	
戴	tei[5]	te[5]	动词
智	tei[5]	te[5]	
致	tei[5]	te[5]	
置	tei[5]	te[5]	
地	tei[6]	te[6]	
治	tei[6]	te[6]	政~
黐	t'ei[1]	tʰe[1]	粘
苔	t'ei[2]	tʰe[2]	青~
提	t'ei[2]	tʰe[2]	3
持	t'ei[2]	tʰe[2]	
呢	nei[2]	ne[2]	布料之一
□	nei[5]	ne[5]	猫~：猫
腻	nei[6]	ne[6]	细~：小心
二	nei[6]	ne[6]	
□	nei[6]	ne[6]	□tʃiɛ2~:自己
来	lei[2]	le[2]	1
梨	lei[2]	le[2]	
狸	lei[2]	le[2]	
利	lei[5]	le[5]	1～息
利	lei[6]	le[6]	2余~
俐	lei[6]	le[6]	伶~
至	chei[5]	tʃe[5]	
志	chei[5]	tʃe[5]	
志	chei[5]	tʃe[5]	
字	chei[6]	tʃe[6]	
鳃	ch'ei[1]	tʃʰe[1]	
雌	ch'ei[1]	tʃʰe[1]	
痴	ch'ei[1]	tʃʰe[1]	2
市	ch'ei[6]	tʃʰe[6]	
私	sei[1]	se[1]	1
蛳	sei[1]	se[1]	
尸	sei[1]	se[1]	
司	sei[1]	se[1]	
丝	sei[1]	se[1]	
诗	sei[1]	se[1]	
鹚	sei[2]	se[2]	
时	sei[2]	se[2]	
鲥	sei[2]	se[2]	
四	sei[5]	se[5]	1
试	sei[5]	se[5]	考~
是	sei[6]	se[6]	
示	sei[6]	se[6]	
视	sei[6]	se[6]	
寺	sei[6]	se[6]	
枝	kei[1]	ke[1]	树~
技	kei[1]	ke[1]	
飢	kei[1]	ke[1]	
肌	kei[1]	ke[1]	
基	kei[1]	ke[1]	
箕	kei[1]	ke[1]	
讥	kei[1]	ke[1]	
机	kei[1]	ke[1]	
饥	kei[1]	ke[1]	2
奇	kei[2]	ke[2]	出～
其	kei[2]	ke[2]	
期	kei[2]	ke[2]	
旗	kei[2]	ke[2]	
棋	kei[2]	ke[2]	
麒	kei[2]	ke[2]	
祈	kei[2]	ke[2]	
纪	kei[5]	ke[5]	
记	kei[5]	ke[5]	
既	kei[5]	ke[5]	
妓	kei[6]	ke[6]	
忌	kei[6]	ke[6]	
㩻	k'ei[1]	kʰe[1]	倾斜
欺	k'ei[1]	kʰe[1]	
骑	k'ei[2]	kʰe[2]	
虮	k'ei[2]	kʰe[2]	渠希切蚂蟥
器	k'ei[5]	kʰe[5]	
弃	k'ei[5]	kʰe[5]	
气	k'ei[5]	kʰe[5]	
汽	k'ei[5]	kʰe[5]	
柿	k'ei[6]	kʰe[6]	
宜	ngei[2]	ŋe[2]	
仪	ngei[2]	ŋe[2]	
疑	ngei[2]	ŋe[2]	
耳	ngei[6]	ŋe[6]	1～朵
牺	hei[1]	he[1]	
禧	hei[1]	he[1]	
希	hei[1]	he[1]	
稀	hei[1]	he[1]	
飞	hei[1]	he[1]	2～报
非	hei[1]	he[1]	
□	hei[5]	he[5]	那里
伊	∅ei[1]	ʔe[1]	他
医	∅ei[1]	ʔe[1]	
衣	∅ei[1]	ʔe[1]	～裳
依	∅ei[1]	ʔe[1]	
移	∅ei[2]	ʔe[2]	
姨	∅ei[2]	ʔe[2]	
意	∅ei[5]	ʔe[5]	
翳	∅ei[5]	ʔe[5]	
易	∅ei[6]	ʔe[6]	容～
异	∅ei[6]	ʔe[6]	
而	yei[2]	je[2]	
味	bei[6]	we[6]	
剖	p'eiu[3]	pʰeu[3]	
亩	meiu[3]	meu[3]	
丢	teiu[1]	teu[1]	
橱	teiu[2]	teu[2]	
抖	teiu[3]	teu[3]	
昼	teiu[5]	teu[5]	2～寝
宙	teiu[5]	teu[5]	
住	teiu[6]	teu[6]	1
□	teiu[6]	teu[6]	稻子
粙	teiu[6]	teu[6]	校补，便于匹配：稻子
抽	t'eiu[1]	tʰeu[1]	
稠	t'eiu[2]	tʰeu[2]	~密
绸	t'eiu[2]	tʰeu[2]	
筹	t'eiu[2]	tʰeu[2]	
踌	t'eiu[2]	tʰeu[2]	~躇
柱	t'eiu[6]	tʰeu[6]	
揉	neiu[2]	neu[2]	
□	leiu[1]	leu[1]	尾～：尾巴
流	leiu[2]	leu[2]	2～星
留	leiu[2]	leu[2]	2～心
硫	leiu[2]	leu[2]	
瘤	leiu[2]	leu[2]	
篓	leiu[3]	leu[3]	
珠	cheiu[1]	tʃeu[1]	1目～：眼睛
周	cheiu[1]	tʃeu[1]	
州	cheiu[1]	tʃeu[1]	
洲	cheiu[1]	tʃeu[1]	
鸟	cheiu[3]	tʃeu[3]	1
蛀	cheiu[5]	tʃeu[5]	
咒	cheiu[5]	tʃeu[5]	
就	cheiu[6]	tʃeu[6]	
秋	ch'eiu[1]	tʃʰeu[1]	
鞦	ch'eiu[1]	tʃʰeu[1]	~韆
树	ch'eiu[5]	tʃʰeu[5]	1
须	seiu[1]	seu[1]	1喙~：胡子
修	seiu[1]	seu[1]	
羞	seiu[1]	seu[1]	
收	seiu[1]	seu[1]	
泅	seiu[2]	seu[2]	
仇	seiu[2]	seu[2]	报～
酬	seiu[2]	seu[2]	
售	seiu[2]	seu[2]	
绣	seiu[5]	seu[5]	
兽	seiu[5]	seu[5]	
□	seiu[5]	seu[5]	窝
受	seiu[6]	seu[6]	
绶	seiu[6]	seu[6]	
袖	seiu[6]	seu[6]	
寿	seiu[6]	seu[6]	
授	seiu[6]	seu[6]	
求	keiu[2]	keu[2]	
球	keiu[2]	keu[2]	
□	keiu[2]	keu[2]	居住
□	keiu[2]	keu[2]	□ki1～头发：卷发
狗	keiu[3]	keu[3]	走~
苟	keiu[3]	keu[3]	
救	keiu[5]	keu[5]	
究	keiu[5]	keu[5]	
臼	keiu[6]	keu[6]	2脱～
旧	keiu[6]	keu[6]	
口	k'eiu[3]	kʰeu[3]	～头语
偶	ngeiu[3]	ŋeu[3]	
休	heiu[1]	heu[1]	
欧	∅eiu[1]	ʔeu[1]	
优	∅eiu[1]	ʔeu[1]	
忧	∅eiu[1]	ʔeu[1]	
幽	∅eiu[1]	ʔeu[1]	
呕	∅eiu[3]	ʔeu[3]	
幼	∅eiu[5]	ʔeu[5]	～年
摇	yeiu[2]	jeu[2]	2
柔	yeiu[2]	jeu[2]	
尤	yeiu[2]	jeu[2]	
邮	yeiu[2]	jeu[2]	
由	yeiu[2]	jeu[2]	
油	yeiu[2]	jeu[2]	
游	yeiu[2]	jeu[2]	
游	yeiu[2]	jeu[2]	
犹	yeiu[2]	jeu[2]	
扰	yeiu[3]	jeu[3]	
友	yeiu[3]	jeu[3]	
又	yeiu[6]	jeu[6]	
右	yeiu[6]	jeu[6]	
佑	yeiu[6]	jeu[6]	
釉	yeiu[6]	jeu[6]	
标	piu[1]	piu[1]	
镖	piu[1]	piu[1]	
表	piu[3]	piu[3]	
飘	p'iu[1]	pʰiu[1]	
漂	p'iu[1]	pʰiu[1]	~流
薸	p'iu[2]	pʰiu[2]	浮萍
嫖	p'iu[2]	pʰiu[2]	
漂	p'iu[5]	pʰiu[5]	~亮
票	p'iu[5]	pʰiu[5]	
苗	miu[2]	miu[2]	
描	miu[2]	miu[2]	
渺	miu[3]	miu[3]	
秒	miu[3]	miu[3]	
庙	miu[6]	miu[6]	
妙	miu[6]	miu[6]	
鹞	miu[6]	miu[6]	1纸～：风筝
谬	miu[6]	miu[6]	
朝	tiu[1]	tiu[1]	明～鸟：一种鸟
招	tiu[1]	tiu[1]	1
调	tiu[2]	tiu[2]	2～阳花：向日葵，～和
吊	tiu[5]	tiu[5]	
钓	tiu[5]	tiu[5]	
兆	tiu[6]	tiu[6]	
召	tiu[6]	tiu[6]	1圣～
调	tiu[6]	tiu[6]	2～转过来
超	t'iu[1]	tʰiu[1]	
挑	t'iu[1]	tʰiu[1]	～唆
跳	t'iu[5]	tʰiu[5]	
鸟	niu[3]	niu[3]	2～类
纽	niu[3]	niu[3]	
尿	niu[6]	niu[6]	
疗	liu[2]	liu[2]	
□	liu[2]	liu[2]	□~：玩儿
了	liu[3]	liu[3]	
柳	liu[3]	liu[3]	
料	liu[6]	liu[6]	2~理
焦	chiu[1]	tʃiu[1]	
礁	chiu[1]	tʃiu[1]	
招	chiu[1]	tʃiu[1]	2~牌
帚	chiu[3]	tʃiu[3]	
少	chiu[3]	tʃiu[3]	数量小
酒	chiu[3]	tʃiu[3]	
召	chiu[5]	tʃiu[5]	2圣～
照	chiu[5]	tʃiu[5]	
锹	ch'iu[1]	tʃʰiu[1]	
丑	ch'iu[3]	tʃʰiu[3]	
手	ch'iu[3]	tʃʰiu[3]	
笑	ch'iu[5]	tʃʰiu[5]	
椒	siu[1]	siu[1]	辣～，胡～。擦音声母
消	siu[1]	siu[1]	
硝	siu[1]	siu[1]	
销	siu[1]	siu[1]	
峭	siu[1]	siu[1]	~壁
烧	siu[1]	siu[1]	
箫	siu[1]	siu[1]	
啸	siu[1]	siu[1]	
小	siu[3]	siu[3]	
守	siu[3]	siu[3]	
首	siu[3]	siu[3]	
鞘	siu[5]	siu[5]	
肖	siu[5]	siu[5]	~像
绍	siu[6]	siu[6]	
骄	kiu[1]	kiu[1]	
桥	kiu[2]	kiu[2]	
侨	kiu[2]	kiu[2]	
狡	kiu[3]	kiu[3]	～猾
皎	kiu[3]	kiu[3]	～洁
久	kiu[3]	kiu[3]	
叫	kiu[5]	kiu[5]	
轿	kiu[6]	kiu[6]	
巧	k'iu[3]	kʰiu[3]	
窍	k'iu[5]	kʰiu[5]	
绕	ngiu[2]	ŋiu[2]	旋~
侥	hiu[1]	hiu[1]	~幸
晓	hiu[3]	hiu[3]	
妖	hiu[1]	hiu[1]	
腰	hiu[1]	hiu[1]	
摇	hiu[2]	hiu[2]	1
谣	hiu[2]	hiu[2]	
窑	hiu[2]	hiu[2]	
舀	hiu[3]	hiu[3]	
有	hiu[3]	hiu[3]	2~限
诱	hiu[3]	hiu[3]	引~
要	hiu[5]	hiu[5]	重~
耀	hiu[6]	hiu[6]	
鹞	hiu[6]	hiu[6]	2纸~:风筝
匏	pou[2]	po[2]	
饱	pou[3]	po[3]	2～和
富	pou[5]	po[5]	1
伏	pou[6]	po[6]	孵
浮	p'ou[2]	pʰo[2]	1
□	p'ou[2]	pʰo[2]	用油炸
卯	mou[3]	mo[3]	
都	tou[1]	to[1]	副词
都	tou[1]	to[1]	名词
图	tou[2]	to[2]	
徒	tou[2]	to[2]	
途	tou[2]	to[2]	
涂	tou[2]	to[2]	2~釉
斗	tou[3]	to[3]	墨～
妒	tou[5]	to[5]	
肚	tou[6]	to[6]	小～：动物的胃
度	tou[6]	to[6]	
渡	tou[6]	to[6]	
镀	tou[6]	to[6]	
涂	t'ou[2]	tʰo[2]	1泥土
妥	t'ou[3]	tʰo[3]	~当
敨	t'ou[3]	tʰo[3]	擤
兔	t'ou[5]	tʰo[5]	
吐	t'ou[5]	tʰo[5]	~痰
吐	t'ou[5]	tʰo[5]	呕吐
奴	nou[2]	no[2]	
怒	nou[6]	no[6]	
芦	lou[2]	lo[2]	
炉	lou[2]	lo[2]	
鸬	lou[2]	lo[2]	
颅	lou[2]	lo[2]	
轳	lou[2]	lo[2]	
露	lou[5]	lo[5]	～水
卤	lou[6]	lo[6]	
路	lou[6]	lo[6]	
赂	lou[6]	lo[6]	
租	chou[1]	tʃo[1]	
资	chou[1]	tʃo[1]	
滋	chou[1]	tʃo[1]	
瓷	chou[2]	tʃo[2]	
慈	chou[2]	tʃo[2]	
爪	chou[3]	tʃo[3]	
走	chou[3]	tʃo[3]	跑，～狗
自	chou[6]	tʃo[6]	~由
粗	ch'ou[1]	tʃʰo[1]	
草	ch'ou[3]	tʃʰo[3]	1～鞋
醋	ch'ou[5]	tʃʰo[5]	
刺	ch'ou[5]	tʃʰo[5]	2~激
次	ch'ou[5]	tʃʰo[5]	
苏	sou[1]	so[1]	
稣	sou[1]	so[1]	耶~
斯	sou[1]	so[1]	
私	sou[1]	so[1]	2~情
师	sou[1]	so[1]	
思	sou[1]	so[1]	~想
辞	sou[2]	so[2]	
词	sou[2]	so[2]	
素	sou[5]	so[5]	
诉	sou[5]	so[5]	
数	sou[5]	so[5]	动词
数	sou[5]	so[5]	～目
赐	sou[5]	so[5]	
四	sou[5]	so[5]	2文房~宝
肆	sou[5]	so[5]	放～
思	sou[5]	so[5]	意～
似	sou[6]	so[6]	
祀	sou[6]	so[6]	
士	sou[6]	so[6]	
伺	sou[6]	so[6]	～候
事	sou[6]	so[6]	2～情
孤	kou[1]	ko[1]	
姑	kou[1]	ko[1]	
菇	kou[1]	ko[1]	
骷	kou[1]	ko[1]	
枯	kou[1]	ko[1]	
□	kou[1]	ko[1]	～虮：蚂蟥
糊	kou[2]	ko[2]	1糨糊
垢	kou[3]	ko[3]	
九	kou[3]	ko[3]	
故	kou[5]	ko[5]	
固	kou[5]	ko[5]	
顾	kou[5]	ko[5]	
□	kou[5]	ko[5]	还，副词
舅	kou[6]	ko[6]	
箍	k'ou[1]	kʰo[1]	
丘	k'ou[1]	kʰo[1]	量词，用于田
库	k'ou[5]	kʰo[5]	
裤	k'ou[5]	kʰo[5]	
臼	k'ou[6]	kʰo[6]	1舂～囝：臼
牛	ngou[2]	ŋo[2]	
五	ngou[6]	ŋo[6]	1
夫	hou[1]	ho[1]	2～妻
肤	hou[1]	ho[1]	
灰	hou[1]	ho[1]	1～寮：厕所
呼	hou[2]	ho[2]	～吸
胡	hou[2]	ho[2]	
狐	hou[2]	ho[2]	2
弧	hou[2]	ho[2]	
壶	hou[2]	ho[2]	
糊	hou[2]	ho[2]	2~涂
胡	hou[2]	ho[2]	~须
扶	hou[2]	ho[2]	2
符	hou[2]	ho[2]	
□	hou[2]	ho[2]	~虮：一种蚂蟥，较大
吼	hou[3]	ho[3]	叫
付	hou[5]	ho[5]	
赋	hou[5]	ho[5]	
傅	hou[5]	ho[5]	
富	hou[5]	ho[5]	2~足
副	hou[5]	ho[5]	
户	hou[6]	ho[6]	
互	hou[6]	ho[6]	
护	hou[6]	ho[6]	
父	hou[6]	ho[6]	师~
腐	hou[6]	ho[6]	
辅	hou[6]	ho[6]	
附	hou[6]	ho[6]	
妇	hou[6]	ho[6]	囝个新～：媳妇，寡~
负	hou[6]	ho[6]	
乌	∅ou[1]	ʔo[1]	黑
污	∅ou[1]	ʔo[1]	
于	∅ou[1]	ʔo[1]	
□	∅ou[1]	ʔo[1]	~tʃɔk8：肮脏
湖	∅ou[2]	ʔo[2]	江
坞	∅ou[5]	ʔo[5]	船～：船埠
恶	∅ou[5]	ʔo[5]	可~
□	∅ou[5]	ʔo[5]	躲
伙	∅ou[6]	ʔo[6]	若~：多少
有	∅ou[6]	ʔo[6]	1
无	bou[2]	wo[2]	
巫	bou[2]	wo[2]	
诬	bou[2]	wo[2]	
务	bou[6]	wo[6]	
雾	bou[6]	wo[6]	2
肥	poui[2]	poi[2]	
痱	poui[5]	poi[5]	
沸	poui[5]	poi[5]	沸腾
屁	p'oui[5]	pʰoi[5]	1
□	p'oui[5]	pʰoi[5]	从嘴里往外吐
追	toui[1]	toi[1]	
锤	toui[2]	toi[2]	秤~
捶	toui[2]	toi[2]	1～门：敲门
着	toui[5]	toi[5]	显～
坠	toui[6]	toi[6]	
槌	t'oui[2]	tʰoi[2]	
捶	t'oui[2]	tʰoi[2]	2~锣
类	loui[6]	loi[6]	
隹	choui[1]	tʃoi[1]	
醉	choui[5]	tʃoi[5]	
处	ch'oui[5]	tʃʰoi[5]	好~
趋	ch'oui[5]	tʃʰoi[5]	~向
趣	ch'oui[5]	tʃʰoi[5]	
□	ch'oui[5]	tʃʰoi[5]	嘴。本文中写作“喙”
喙	ch'oui[5]	tʃʰoi[5]	校补，便于匹配：嘴
𧄔	soui[2]	soi[2]	蕃~：白薯
殊	soui[2]	soi[2]	
随	soui[2]	soi[2]	
垂	soui[2]	soi[2]	
瑞	soui[6]	soi[6]	～典
燧	soui[6]	soi[6]	
龟	koui[1]	koi[1]	
归	koui[1]	koi[1]	
葵	koui[2]	koi[2]	
贵	koui[5]	koi[5]	
具	koui[6]	koi[6]	
飓	koui[6]	koi[6]	
跪	koui[6]	koi[6]	
□	koui[6]	koi[6]	□sat8~:蟑螂的窝
开	k'oui[1]	kʰoi[1]	1
恢	k'oui[1]	kʰoi[1]	
饥	k'oui[1]	kʰoi[1]	1腹肚～：肚子饿。送气音
瑰	k'oui[5]	kʰoi[5]	玫~
愧	k'oui[5]	kʰoi[5]	
巍	ngoui[2]	ŋoi[2]	
寓	ngoui[6]	ŋoi[6]	～意
挥	houi[1]	hoi[1]	1指~
纬	houi[5]	hoi[5]	
威	∅oui[1]	ʔoi[1]	
畏	∅oui[5]	ʔoi[5]	
慰	∅oui[5]	ʔoi[5]	
桅	boui[2]	woi[2]	
为	boui[2]	woi[2]	1行～
违	boui[2]	woi[2]	
围	boui[2]	woi[2]	
帏	boui[2]	woi[2]	
为	boui[6]	woi[6]	2变～，以~
为	boui[6]	woi[6]	因~
位	boui[6]	woi[6]	
胃	boui[6]	woi[6]	
谓	boui[6]	woi[6]	
杯	pui[1]	pui[1]	
飞	pui[1]	pui[1]	1
赔	pui[2]	pui[2]	
培	pui[2]	pui[2]	
陪	pui[2]	pui[2]	
贝	pui[5]	pui[5]	
背	pui[5]	pui[5]	1椅～
褙	pui[5]	pui[5]	
狈	pui[6]	pui[6]	
倍	pui[6]	pui[6]	
背	pui[6]	pui[6]	2~脊
背	pui[6]	pui[6]	~井，耳朵~
焙	pui[6]	pui[6]	
佩	pui[6]	pui[6]	～服
皮	p'ui[2]	pʰui[2]	1
配	p'ui[5]	pʰui[5]	
被	p'ui[6]	pʰui[6]	被子
梅	mui[2]	mui[2]	
煤	mui[2]	mui[2]	
媒	mui[2]	mui[2]	
玫	mui[2]	mui[2]	～瑰
糜	mui[2]	mui[2]	1～粥：稀饭
每	mui[3]	mui[3]	
尾	mui[3]	mui[3]	
妹	mui[5]	mui[5]	
昧	mui[6]	mui[6]	
未	mui[6]	mui[6]	副词
屡	lui[3]	lui[3]	
吹	ch'ui[1]	tʃʰui[1]	
脆	ch'ui[5]	tʃʰui[5]	
□	ch'ui[5]	tʃʰui[5]	寻找
虽	sui[1]	sui[1]	
岁	sui[5]	sui[5]	2万~
税	sui[5]	sui[5]	
裹	kui[3]	kui[3]	包，动词
几	kui[3]	kui[3]	～只
诡	kui[3]	kui[3]	
轨	kui[3]	kui[3]	
鬼	kui[3]	kui[3]	
刽	kui[5]	kui[5]	
髻	kui[5]	kui[5]	
外	ngui[6]	ŋui[6]	2意～
灰	hui[1]	hui[1]	2石～
回	hui[2]	hui[2]	
回	hui[2]	hui[2]	
火	hui[3]	hui[3]	
伙	hui[3]	hui[3]	
悔	hui[5]	hui[5]	
岁	hui[5]	hui[5]	1六十~
会	hui[6]	hui[6]	社~
贿	∅ui[3]	ʔui[3]	受~
委	∅ui[3]	ʔui[3]	
睿	yui[6]	jui[6]	
伟	bui[3]	wui[3]	
秽	bui[5]	wui[5]	
卫	bui[6]	wui[6]	
去	k'ue[5]	kʰø[5]	
猪	tuei[1]	tøi[1]	
除	tuei[2]	tøi[2]	
躇	tuei[2]	tøi[2]	踌~
短	tuei[3]	tøi[3]	
箸	tuei[6]	tøi[6]	
队	tuei[6]	tøi[6]	
蛛	t'uei[1]	tʰøi[1]	蜘～
锄	t'uei[2]	tʰøi[2]	
椎	t'uei[2]	tʰøi[2]	脊~
