正體	省写	/IPA/	[IPA]	注释
奇	奇	tɕi˥	tɕi˦˥	
畸	畸	tɕi˥	tɕi˦˥	
膝	膝	tɕi˥	tɕi˦˥	乞~脑壳
錐	锥	tɕi˥	tɕi˦˥	~人，指戳、刺的动作
雎	雎	tɕi˥	tɕi˦˥	
𩐒	𩐒	tɕi˥	tɕi˦˥	
䪡	䪡	tɕi˥	tɕi˦˥	
㞓	㞓	tɕi˥	tɕi˦˥	男阴，粗语
季	季	tɕi˥	tɕi˦˥	四~豆
吉	吉	tɕi˥	tɕi˦˥	小宅~
緝	缉	tɕi˨˩	tɕi˨˩	
輯	辑	tɕi˨˩	tɕi˨˩	
集	集	tɕi˨˩	tɕi˨˩	
級	级	tɕi˨˩	tɕi˨˩	
圾	圾	tɕi˨˩	tɕi˨˩	
吸	吸	tɕi˨˩	tɕi˨˩	
及	及	tɕi˨˩	tɕi˨˩	
疾	疾	tɕi˨˩	tɕi˨˩	
給	给	tɕi˨˩	tɕi˨˩	文读
吉	吉	tɕi˨˩	tɕi˨˩	
桔	桔	tɕi˨˩	tɕi˨˩	
拮	拮	tɕi˨˩	tɕi˨˩	
佶	佶	tɕi˨˩	tɕi˨˩	
狤	狤	tɕi˨˩	tɕi˨˩	
即	即	tɕi˨˩	tɕi˨˩	
鯽	鲫	tɕi˨˩	tɕi˨˩	
棘	棘	tɕi˨˩	tɕi˨˩	
亟	亟	tɕi˨˩	tɕi˨˩	
極	极	tɕi˨˩	tɕi˨˩	
積	积	tɕi˨˩	tɕi˨˩	
稷	稷	tɕi˨˩	tɕi˨˩	
跡	迹	tɕi˨˩	tɕi˨˩	
脊	脊	tɕi˨˩	tɕi˨˩	
籍	籍	tɕi˨˩	tɕi˨˩	
藉	藉	tɕi˨˩	tɕi˨˩	
藉	借	tɕi˨˩	tɕi˨˩	
戟	戟	tɕi˨˩	tɕi˨˩	
屐	屐	tɕi˨˩	tɕi˨˩	
績	绩	tɕi˨˩	tɕi˨˩	
寂	寂	tɕi˨˩	tɕi˨˩	
擊	击	tɕi˨˩	tɕi˨˩	
激	激	tɕi˨˩	tɕi˨˩	
己	己	tɕi˨˩	tɕi˨˩	妲~
杞	杞	tɕi˨˩	tɕi˨˩	枸~
紀	纪	tɕi˨˩	tɕi˨˩	年~
舉	举	tɕi˦˨	tɕi˦˧	
矩	矩	tɕi˦˨	tɕi˦˧	
枸	枸	tɕi˦˨	tɕi˦˧	~橼酸
莒	莒	tɕi˦˨	tɕi˦˧	
擠	挤	tɕi˦˨	tɕi˦˧	
幾	几	tɕi˦˨	tɕi˦˧	
己	己	tɕi˦˨	tɕi˦˧	
紀	纪	tɕi˦˨	tɕi˦˧	
麂	麂	tɕi˦˨	tɕi˦˧	
據	据	tɕi˩˧	tɕi˨˦	
鋸	锯	tɕi˩˧	tɕi˨˦	
踞	踞	tɕi˩˧	tɕi˨˦	
巨	巨	tɕi˩˧	tɕi˨˦	
拒	拒	tɕi˩˧	tɕi˨˦	
距	距	tɕi˩˧	tɕi˨˦	
柜	柜	tɕi˩˧	tɕi˨˦	~柳
句	句	tɕi˩˧	tɕi˨˦	
聚	聚	tɕi˩˧	tɕi˨˦	
懼	惧	tɕi˩˧	tɕi˨˦	
濟	济	tɕi˩˧	tɕi˨˦	
薺	荠	tɕi˩˧	tɕi˨˦	
計	计	tɕi˩˧	tɕi˨˦	
記	记	tɕi˩˧	tɕi˨˦	
紀	纪	tɕi˩˧	tɕi˨˦	~念
忌	忌	tɕi˩˧	tɕi˨˦	
繼	继	tɕi˩˧	tɕi˨˦	
嫉	嫉	tɕi˩˧	tɕi˨˦	
祭	祭	tɕi˩˧	tɕi˨˦	
際	际	tɕi˩˧	tɕi˨˦	
技	技	tɕi˩˧	tɕi˨˦	
妓	妓	tɕi˩˧	tɕi˨˦	
既	既	tɕi˩˧	tɕi˨˦	
暨	暨	tɕi˩˧	tɕi˨˦	
具	具	tɕi˩˧	tɕi˨˦	
俱	俱	tɕi˩˧	tɕi˨˦	家~
季	季	tɕi˩˧	tɕi˨˦	
系	系	tɕi˩˧	tɕi˨˦	~裤带
髻	髻	tɕi˩˧	tɕi˨˦	
蛐	蛐	tɕʰi˥	tɕʰi˦˥	灶~~，即蟋蟀
伹	伹	tɕʰi˥	tɕʰi˦˥	
蛆	蛆	tɕʰi˥	tɕʰi˦˥	
欺	欺	tɕʰi˥	tɕʰi˦˥	
期	期	tɕʰi˥	tɕʰi˦˥	
奚	奚	tɕʰi˥	tɕʰi˦˥	
溪	溪	tɕʰi˥	tɕʰi˦˥	
蹊	蹊	tɕʰi˥	tɕʰi˦˥	
區	区	tɕʰi˥	tɕʰi˦˥	
驅	驱	tɕʰi˥	tɕʰi˦˥	
軀	躯	tɕʰi˥	tɕʰi˦˥	
趨	趋	tɕʰi˥	tɕʰi˦˥	
妻	妻	tɕʰi˥	tɕʰi˦˥	
淒	凄	tɕʰi˥	tɕʰi˦˥	
棲	栖	tɕʰi˥	tɕʰi˦˥	
渠	渠	tɕʰi˨˩	tɕʰi˨˩	
磲	磲	tɕʰi˨˩	tɕʰi˨˩	
瞿	瞿	tɕʰi˨˩	tɕʰi˨˩	
衢	衢	tɕʰi˨˩	tɕʰi˨˩	
齊	齐	tɕʰi˨˩	tɕʰi˨˩	
臍	脐	tɕʰi˨˩	tɕʰi˨˩	
奇	奇	tɕʰi˨˩	tɕʰi˨˩	
騎	骑	tɕʰi˨˩	tɕʰi˨˩	
歧	歧	tɕʰi˨˩	tɕʰi˨˩	
祁	祁	tɕʰi˨˩	tɕʰi˨˩	
祈	祈	tɕʰi˨˩	tɕʰi˨˩	
俟	俟	tɕʰi˨˩	tɕʰi˨˩	万~，少数民族复姓
其	其	tɕʰi˨˩	tɕʰi˨˩	
棋	棋	tɕʰi˨˩	tɕʰi˨˩	
旗	旗	tɕʰi˨˩	tɕʰi˨˩	
淇	淇	tɕʰi˨˩	tɕʰi˨˩	
鰭	鳍	tɕʰi˨˩	tɕʰi˨˩	
七	七	tɕʰi˨˩	tɕʰi˨˩	
柒	柒	tɕʰi˨˩	tɕʰi˨˩	
㭍	㭍	tɕʰi˨˩	tɕʰi˨˩	
剌	剌	tɕʰi˨˩	tɕʰi˨˩	文读，即“刺”
桼	桼	tɕʰi˨˩	tɕʰi˨˩	
漆	漆	tɕʰi˨˩	tɕʰi˨˩	
膝	膝	tɕʰi˨˩	tɕʰi˨˩	
䰍	䰍	tɕʰi˨˩	tɕʰi˨˩	
乞	乞	tɕʰi˨˩	tɕʰi˨˩	
迄	迄	tɕʰi˨˩	tɕʰi˨˩	
訖	讫	tɕʰi˨˩	tɕʰi˨˩	
契	契	tɕʰi˨˩	tɕʰi˨˩	~丹
戚	戚	tɕʰi˨˩	tɕʰi˨˩	
嘁	嘁	tɕʰi˨˩	tɕʰi˨˩	
績	绩	tɕʰi˨˩	tɕʰi˨˩	~麻
錘	锤	tɕʰi˨˩	tɕʰi˨˩	~~捶，划拳游戏用语
捶	捶	tɕʰi˨˩	tɕʰi˨˩	锤锤~，划拳游戏用语
取	取	tɕʰi˦˨	tɕʰi˦˧	
娶	娶	tɕʰi˦˨	tɕʰi˦˧	
啟	启	tɕʰi˦˨	tɕʰi˦˧	
啓	启	tɕʰi˦˨	tɕʰi˦˧	
綺	绮	tɕʰi˦˨	tɕʰi˦˧	
起	起	tɕʰi˦˨	tɕʰi˦˧	
岂	岂	tɕʰi˦˨	tɕʰi˦˧	
杞	杞	tɕʰi˦˨	tɕʰi˦˧	
啐	啐	tɕʰi˦˨	tɕʰi˦˧	语气词，表示不服气
去	去	tɕʰi˩˧	tɕʰi˨˦	文读
趣	趣	tɕʰi˩˧	tɕʰi˨˦	
覷	觑	tɕʰi˩˧	tɕʰi˨˦	
契	契	tɕʰi˩˧	tɕʰi˨˦	
鍥	锲	tɕʰi˩˧	tɕʰi˨˦	
楔	楔	tɕʰi˩˧	tɕʰi˨˦	
砌	砌	tɕʰi˩˧	tɕʰi˨˦	
企	企	tɕʰi˩˧	tɕʰi˨˦	
器	器	tɕʰi˩˧	tɕʰi˨˦	
棄	弃	tɕʰi˩˧	tɕʰi˨˦	
虛	虚	ɕi˥	ɕi˦˥	
噓	嘘	ɕi˥	ɕi˦˥	
胥	胥	ɕi˥	ɕi˦˥	
諝	谞	ɕi˥	ɕi˦˥	
須	须	ɕi˥	ɕi˦˥	
鬚	须	ɕi˥	ɕi˦˥	
需	需	ɕi˥	ɕi˦˥	文读
奚	奚	ɕi˥	ɕi˦˥	姓氏
兮	兮	ɕi˥	ɕi˦˥	
诶	诶	ɕi˥	ɕi˦˥	
犀	犀	ɕi˥	ɕi˦˥	
西	西	ɕi˥	ɕi˦˥	
硒	硒	ɕi˥	ɕi˦˥	
醯	醯	ɕi˥	ɕi˦˥	醋；酰
羲	羲	ɕi˥	ɕi˦˥	
犧	牺	ɕi˥	ɕi˦˥	
曦	曦	ɕi˥	ɕi˦˥	
𨵤	𨵤	ɕi˥	ɕi˦˥	~缝
巂	巂	ɕi˥	ɕi˦˥	
雟	雟	ɕi˥	ɕi˦˥	
希	希	ɕi˥	ɕi˦˥	
稀	稀	ɕi˥	ɕi˦˥	
熙	熙	ɕi˥	ɕi˦˥	
嬉	嬉	ɕi˥	ɕi˦˥	
禧	禧	ɕi˥	ɕi˦˥	
熹	熹	ɕi˥	ɕi˦˥	
尿	尿	ɕi˥	ɕi˦˥	~~，指小便
雖	虽	ɕi˥	ɕi˦˥	~然
綏	绥	ɕi˥	ɕi˦˥	
浽	浽	ɕi˥	ɕi˦˥	
荽	荽	ɕi˥	ɕi˦˥	
窸	窸	ɕi˥	ɕi˦˥	
膝	膝	ɕi˥	ɕi˦˥	乞~头
些	些	ɕi˥	ɕi˦˥	晚~家；黑~家
悉	悉	ɕi˨˩	ɕi˨˩	
蟋	蟋	ɕi˨˩	ɕi˨˩	
昔	昔	ɕi˨˩	ɕi˨˩	
惜	惜	ɕi˨˩	ɕi˨˩	
夕	夕	ɕi˨˩	ɕi˨˩	
汐	汐	ɕi˨˩	ɕi˨˩	
席	席	ɕi˨˩	ɕi˨˩	
吸	吸	ɕi˨˩	ɕi˨˩	~铁石；~鼻子
習	习	ɕi˨˩	ɕi˨˩	
泣	泣	ɕi˨˩	ɕi˨˩	
襲	袭	ɕi˨˩	ɕi˨˩	
息	息	ɕi˨˩	ɕi˨˩	
熄	熄	ɕi˨˩	ɕi˨˩	
媳	媳	ɕi˨˩	ɕi˨˩	
隙	隙	ɕi˨˩	ɕi˨˩	
錫	锡	ɕi˨˩	ɕi˨˩	
恤	恤	ɕi˨˩	ɕi˨˩	
洫	洫	ɕi˨˩	ɕi˨˩	
析	析	ɕi˨˩	ɕi˨˩	
晰	晰	ɕi˨˩	ɕi˨˩	
蜥	蜥	ɕi˨˩	ɕi˨˩	
檄	檄	ɕi˨˩	ɕi˨˩	
徐	徐	ɕi˨˩	ɕi˨˩	
許	许	ɕi˦˨	ɕi˦˧	
洗	洗	ɕi˦˨	ɕi˦˧	
璽	玺	ɕi˦˨	ɕi˦˧	
徙	徙	ɕi˦˨	ɕi˦˧	
湑	湑	ɕi˦˨	ɕi˦˧	
醑	醑	ɕi˦˨	ɕi˦˧	
胥	胥	ɕi˦˨	ɕi˦˧	姓氏
栩	栩	ɕi˦˨	ɕi˦˧	
詡	诩	ɕi˦˨	ɕi˦˧	
喜	喜	ɕi˦˨	ɕi˦˧	
囍	囍	ɕi˦˨	ɕi˦˧	
序	序	ɕi˩˧	ɕi˨˦	
敘	叙	ɕi˩˧	ɕi˨˦	
緒	绪	ɕi˩˧	ɕi˨˦	
絮	絮	ɕi˩˧	ɕi˨˦	
系	系	ɕi˩˧	ɕi˨˦	
細	细	ɕi˩˧	ɕi˨˦	
婿	婿	ɕi˩˧	ɕi˨˦	
戲	戏	ɕi˩˧	ɕi˨˦	
嚱	嚱	ɕi˩˧	ɕi˨˦	
隧	隧	ɕi˩˧	ɕi˨˦	~洞
嘰	叽	ki˥	ki˦˥	
嘰	叽	kʰi˥	kʰi˦˥	~~咕咕
迲	迲	kʰi˩˧	kʰi˨˦	文读
嘻	嘻	xi˥	xi˦˥	文读
淤	淤	ʑi˥	ʑi˦˥	
伊	伊	ʑi˥	ʑi˦˥	
咿	咿	ʑi˥	ʑi˦˥	
醫	医	ʑi˥	ʑi˦˥	
衣	衣	ʑi˥	ʑi˦˥	
依	依	ʑi˥	ʑi˦˥	
裔	裔	ʑi˥	ʑi˦˥	
椅	椅	ʑi˥	ʑi˦˥	桌~板凳
倚	倚	ʑi˥	ʑi˦˥	
旖	旖	ʑi˥	ʑi˦˥	
禕	祎	ʑi˥	ʑi˦˥	
吁	吁	ʑi˥	ʑi˦˥	
迂	迂	ʑi˥	ʑi˦˥	
芋	芋	ʑi˥	ʑi˦˥	魔~豆腐
咿	咿	ʑi˥	ʑi˦˥	
咦	咦	ʑi˥	ʑi˦˥	
夷	夷	ʑi˥	ʑi˦˥	老百~，即傣族
餘	余	ʑi˨˩	ʑi˨˩	
魚	鱼	ʑi˨˩	ʑi˨˩	
漁	渔	ʑi˨˩	ʑi˨˩	
吁	吁	ʑi˨˩	ʑi˨˩	喝倒彩的声音
於	于	ʑi˨˩	ʑi˨˩	
盂	盂	ʑi˨˩	ʑi˨˩	
榆	榆	ʑi˨˩	ʑi˨˩	
俞	俞	ʑi˨˩	ʑi˨˩	
愉	愉	ʑi˨˩	ʑi˨˩	
渝	渝	ʑi˨˩	ʑi˨˩	
愈	愈	ʑi˨˩	ʑi˨˩	
逾	逾	ʑi˨˩	ʑi˨˩	
愚	愚	ʑi˨˩	ʑi˨˩	
隅	隅	ʑi˨˩	ʑi˨˩	
禺	禺	ʑi˨˩	ʑi˨˩	
虞	虞	ʑi˨˩	ʑi˨˩	
娛	娱	ʑi˨˩	ʑi˨˩	
移	移	ʑi˨˩	ʑi˨˩	
夷	夷	ʑi˨˩	ʑi˨˩	
姨	姨	ʑi˨˩	ʑi˨˩	
懿	懿	ʑi˨˩	ʑi˨˩	
誼	谊	ʑi˨˩	ʑi˨˩	文读
邑	邑	ʑi˨˩	ʑi˨˩	
揖	揖	ʑi˨˩	ʑi˨˩	
怡	怡	ʑi˨˩	ʑi˨˩	
貽	贻	ʑi˨˩	ʑi˨˩	
沂	沂	ʑi˨˩	ʑi˨˩	
螘	螘	ʑi˨˩	ʑi˨˩	
儀	仪	ʑi˨˩	ʑi˨˩	文读
乙	乙	ʑi˨˩	ʑi˨˩	
屹	屹	ʑi˨˩	ʑi˨˩	
一	一	ʑi˨˩	ʑi˨˩	
壹	壹	ʑi˨˩	ʑi˨˩	
益	益	ʑi˨˩	ʑi˨˩	
溢	溢	ʑi˨˩	ʑi˨˩	
亦	亦	ʑi˨˩	ʑi˨˩	
譯	译	ʑi˨˩	ʑi˨˩	
易	易	ʑi˨˩	ʑi˨˩	姓氏；表示交换或改变
蜴	蜴	ʑi˨˩	ʑi˨˩	
液	液	ʑi˨˩	ʑi˨˩	
腋	腋	ʑi˨˩	ʑi˨˩	
掖	掖	ʑi˨˩	ʑi˨˩	
逸	逸	ʑi˨˩	ʑi˨˩	
抑	抑	ʑi˨˩	ʑi˨˩	
遺	遗	ʑi˨˩	ʑi˨˩	
彝	彝	ʑi˨˩	ʑi˨˩	
頤	颐	ʑi˨˩	ʑi˨˩	
翼	翼	ʑi˨˩	ʑi˨˩	羽~
玉	玉	ʑi˨˩	ʑi˨˩	文读
鈺	钰	ʑi˨˩	ʑi˨˩	
昱	昱	ʑi˨˩	ʑi˨˩	
煜	煜	ʑi˨˩	ʑi˨˩	
翊	翊	ʑi˨˩	ʑi˨˩	
翌	翌	ʑi˨˩	ʑi˨˩	
役	役	ʑi˨˩	ʑi˨˩	徭~
疫	疫	ʑi˨˩	ʑi˨˩	鼠~
與	与	ʑi˦˨	ʑi˦˧	
語	语	ʑi˦˨	ʑi˦˧	
雨	雨	ʑi˦˨	ʑi˦˧	
宇	宇	ʑi˦˨	ʑi˦˧	
禹	禹	ʑi˦˨	ʑi˦˧	
羽	羽	ʑi˦˨	ʑi˦˧	
予	予	ʑi˦˨	ʑi˦˧	
妤	妤	ʑi˦˨	ʑi˦˧	
椅	椅	ʑi˦˨	ʑi˦˧	
以	以	ʑi˦˨	ʑi˦˧	
已	已	ʑi˦˨	ʑi˦˧	
矣	矣	ʑi˦˨	ʑi˦˧	
蟻	蚁	ʑi˦˨	ʑi˦˧	
翼	翼	ʑi˩˧	ʑi˨˦	
冀	冀	ʑi˩˧	ʑi˨˦	
骥	骥	ʑi˩˧	ʑi˨˦	
譽	誉	ʑi˩˧	ʑi˨˦	
預	预	ʑi˩˧	ʑi˨˦	
豫	豫	ʑi˩˧	ʑi˨˦	
禦	御	ʑi˩˧	ʑi˨˦	
籲	吁	ʑi˩˧	ʑi˨˦	
芋	芋	ʑi˩˧	ʑi˨˦	
喻	喻	ʑi˩˧	ʑi˨˦	
裕	裕	ʑi˩˧	ʑi˨˦	
鋊	鋊	ʑi˩˧	ʑi˨˦	光滑发亮
遇	遇	ʑi˩˧	ʑi˨˦	
寓	寓	ʑi˩˧	ʑi˨˦	
瞖	瞖	ʑi˩˧	ʑi˨˦	
藝	艺	ʑi˩˧	ʑi˨˦	
義	义	ʑi˩˧	ʑi˨˦	
議	议	ʑi˩˧	ʑi˨˦	文读
毅	毅	ʑi˩˧	ʑi˨˦	
詣	诣	ʑi˩˧	ʑi˨˦	
刈	刈	ʑi˩˧	ʑi˨˦	
易	易	ʑi˩˧	ʑi˨˦	表示简单
肄	肄	ʑi˩˧	ʑi˨˦	
意	意	ʑi˩˧	ʑi˨˦	
憶	忆	ʑi˩˧	ʑi˨˦	
億	亿	ʑi˩˧	ʑi˨˦	
噫	噫	ʑi˩˧	ʑi˨˦	
弋	弋	ʑi˩˧	ʑi˨˦	
曳	曳	ʑi˩˧	ʑi˨˦	
羿	羿	ʑi˩˧	ʑi˨˦	
玉	玉	ʑi˩˧	ʑi˨˦	白读
尉	尉	ʑi˩˧	ʑi˨˦	姓氏
蔚	蔚	ʑi˩˧	ʑi˨˦	姓氏
慰	慰	ʑi˩˧	ʑi˨˦	劳~
喂	喂	ʑi˩˧	ʑi˨˦	白读
餵	餵	ʑi˩˧	ʑi˨˦	
吇	吇	tɕy˦˨	tɕy˦˧	拟声词，模仿鸟鸣
鈽	钸	pu˥	pu˦˥	
不	不	pu˨˩	pu˨˩	
鈈	钚	pu˨˩	pu˨˩	
補	补	pu˦˨	pu˦˧	
部	部	pu˩˧	pu˨˦	
簿	簿	pu˩˧	pu˨˦	
布	布	pu˩˧	pu˨˦	
佈	布	pu˩˧	pu˨˦	
怖	怖	pu˩˧	pu˨˦	
步	步	pu˩˧	pu˨˦	
蔔	卜	pu˩˧	pu˨˦	
捕	捕	pu˩˧	pu˨˦	文读
埠	埠	pu˩˧	pu˨˦	
鋪	铺	pʰu˥	pʰu˦˥	~盖
副	副	pʰu˥	pʰu˦˥	扑克牌量词：一~牌，即完整一套扑克牌
蒲	蒲	pʰu˨˩	pʰu˨˩	
葡	葡	pʰu˨˩	pʰu˨˩	
匍	匍	pʰu˨˩	pʰu˨˩	
菩	菩	pʰu˨˩	pʰu˨˩	
涪	涪	pʰu˨˩	pʰu˨˩	
覆	覆	pʰu˨˩	pʰu˨˩	碗口朝下放置
伏	伏	pʰu˨˩	pʰu˨˩	~起；~趴
赴	赴	pʰu˨˩	pʰu˨˩	前~后继；~汤蹈火
訃	讣	pʰu˨˩	pʰu˨˩	
仆	仆	pʰu˨˩	pʰu˨˩	
卜	卜	pʰu˨˩	pʰu˨˩	
勃	勃	pʰu˨˩	pʰu˨˩	
渤	渤	pʰu˨˩	pʰu˨˩	
悖	悖	pʰu˨˩	pʰu˨˩	
脖	脖	pʰu˨˩	pʰu˨˩	~颈
荸	荸	pʰu˨˩	pʰu˨˩	
璞	璞	pʰu˨˩	pʰu˨˩	
濮	濮	pʰu˨˩	pʰu˨˩	
樸	朴	pʰu˨˩	pʰu˨˩	
撲	扑	pʰu˨˩	pʰu˨˩	
僕	仆	pʰu˨˩	pʰu˨˩	
曝	曝	pʰu˨˩	pʰu˨˩	
瀑	瀑	pʰu˨˩	pʰu˨˩	
潽	潽	pʰu˨˩	pʰu˨˩	
譜	谱	pʰu˦˨	pʰu˦˧	
普	普	pʰu˦˨	pʰu˦˧	
浦	浦	pʰu˦˨	pʰu˦˧	
輔	辅	pʰu˦˨	pʰu˦˧	~导
捕	捕	pʰu˦˨	pʰu˦˧	白读
埔	埔	pʰu˦˨	pʰu˦˧	
脯	脯	pʰu˦˨	pʰu˦˧	
哺	哺	pʰu˦˨	pʰu˦˧	
甫	甫	pʰu˦˨	pʰu˦˧	
堡	堡	pʰu˦˨	pʰu˦˧	地名
鋪	铺	pʰu˩˧	pʰu˨˦	
模	模	mu˨˩	mᵇu˨˩	白读
木	木	mu˨˩	mᵇu˨˩	
沐	沐	mu˨˩	mᵇu˨˩	
目	目	mu˨˩	mᵇu˨˩	
穆	穆	mu˨˩	mᵇu˨˩	
蓦	蓦	mu˨˩	mᵇu˨˩	
鍪	鍪	mu˨˩	mᵇu˨˩	
繆	缪	mu˨˩	mᵇu˨˩	未雨绸~
髳	髳	mu˨˩	mᵇu˨˩	黔东苗族
謀	谋	mu˨˩	mᵇu˨˩	文读
牟	牟	mu˨˩	mᵇu˨˩	文读
眸	眸	mu˨˩	mᵇu˨˩	文读
哞	哞	mu˨˩	mᵇu˨˩	文读
睦	睦	mu˨˩	mᵇu˨˩	
牧	牧	mu˨˩	mᵇu˨˩	
沒	没	mu˨˩	mᵇu˨˩	
某	某	mu˦˨	mᵇu˦˧	文读
厶	厶	mu˦˨	mᵇu˦˧	
母	母	mu˦˨	mᵇu˦˧	
拇	拇	mu˦˨	mᵇu˦˧	
姆	姆	mu˦˨	mᵇu˦˧	
姥	姥	mu˦˨	mᵇu˦˧	文读
幕	幕	mu˩˧	mᵇu˨˦	
暮	暮	mu˩˧	mᵇu˨˦	
慕	慕	mu˩˧	mᵇu˨˦	
墓	墓	mu˩˧	mᵇu˨˦	
募	募	mu˩˧	mᵇu˨˦	
茂	茂	mu˩˧	mᵇu˨˦	白读
貿	贸	mu˩˧	mᵇu˨˦	白读
虎	虎	fu˥	fu˦˥	马马~~
謼	謼	fu˥	fu˦˥	
呼	呼	fu˥	fu˦˥	
夫	夫	fu˥	fu˦˥	
趺	趺	fu˥	fu˦˥	
呋	呋	fu˥	fu˦˥	
膚	肤	fu˥	fu˦˥	
敷	敷	fu˥	fu˦˥	
俘	俘	fu˥	fu˦˥	
孚	孚	fu˥	fu˦˥	
胡	胡	fu˨˩	fu˨˩	
鬍	胡	fu˨˩	fu˨˩	
湖	湖	fu˨˩	fu˨˩	
糊	糊	fu˨˩	fu˨˩	
煳	煳	fu˨˩	fu˨˩	~辣角
醐	醐	fu˨˩	fu˨˩	
狐	狐	fu˨˩	fu˨˩	
壺	壶	fu˨˩	fu˨˩	
符	符	fu˨˩	fu˨˩	
扶	扶	fu˨˩	fu˨˩	
芙	芙	fu˨˩	fu˨˩	
呼	呼	fu˨˩	fu˨˩	咋~，即嘱咐
乎	乎	fu˨˩	fu˨˩	
浮	浮	fu˨˩	fu˨˩	~屠
複	复	fu˨˩	fu˨˩	
復	复	fu˨˩	fu˨˩	
腹	腹	fu˨˩	fu˨˩	
覆	覆	fu˨˩	fu˨˩	
忽	忽	fu˨˩	fu˨˩	
核	核	fu˨˩	fu˨˩	~~，指果核
和	和	fu˨˩	fu˨˩	~牌，麻将用语
弗	弗	fu˨˩	fu˨˩	
佛	佛	fu˨˩	fu˨˩	
狒	狒	fu˨˩	fu˨˩	
沸	沸	fu˨˩	fu˨˩	
彿	彿	fu˨˩	fu˨˩	
斛	斛	fu˨˩	fu˨˩	
觳	觳	fu˨˩	fu˨˩	
福	福	fu˨˩	fu˨˩	
幅	幅	fu˨˩	fu˨˩	
蝠	蝠	fu˨˩	fu˨˩	
副	副	fu˨˩	fu˨˩	量词，一~
匐	匐	fu˨˩	fu˨˩	
負	负	fu˨˩	fu˨˩	欺~
服	服	fu˨˩	fu˨˩	
伏	伏	fu˨˩	fu˨˩	
洑	洑	fu˨˩	fu˨˩	
鳧	凫	fu˨˩	fu˨˩	
虎	虎	fu˦˨	fu˦˧	
唬	唬	fu˦˨	fu˦˧	
滸	浒	fu˦˨	fu˦˧	
戽	戽	fu˦˨	fu˦˧	
輔	辅	fu˦˨	fu˦˧	
撫	抚	fu˦˨	fu˦˧	
府	府	fu˦˨	fu˦˧	
腑	腑	fu˦˨	fu˦˧	
