#漢字	音標	解釋#('gan_hy_yx', '岳西話', '岳西', '#8B0000', None, None, '來源：《安徽岳西方言的同音字匯》，“空島。”整理', '21 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,324 3 2 上 ꜂,,52 5 3a 陰去 ꜄,33 6 3b 陽去 ꜅,213 7 4 入 ꜆', None, None)
□	sai3	
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	ʈʂʰaŋ6	
三	san1	
上	ʂaŋ6	
下	xa6	
不	pu7	
与	ʯ6	
丐	kai5	
丑	ʈʂʰəu3	
專	ʈʂʯan1	
且	tɕʰie3	
丕	pʰi3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
業	ie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liaŋ3	
嚴	ȵiɛn2	
喪	saŋ1	
喪	saŋ5	～气
个	ko5	
丫	ŋa1	
中	ʈʂoŋ1	
中	ʈʂoŋ5	
丰	foŋ1	
串	ʈʂʰʯan5	
臨	lin2	
丹	tan1	
爲	uei2	
爲	uei6	
主	ʈʂʯ3	
丽	li6	
舉	ʈʂʯ3	
乃	nai3	
久	tɕiəu3	
義	ȵi6	
之	ʈʂʅ1	
烏	u1	
乎	xu1	
樂	lo7	
樂	io7	音～
喬	tɕʰiau2	
乖	kuai1	
乘	ʈʂʰən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	ie3	
習	ɕi6	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lon6	
乳	ʯ3	
乾	kon1	
乾	tɕʰiɛn2	
了	liau3	
爭	tsən1	
事	tʰin2	
事	sɿ6	
二	ʐo6	
于	ʯ2	
虧	kʰuei1	
雲	ʯən1	
五	u3	
井	tɕin3	
亞	ia5	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
產	ʈʂʰan3	
畝	mu3	
享	ɕiaŋ3	
京	tɕin1	
亮	liaŋ6	
親	tɕʰin1	
人	ʐən2	
億	i5	
什	ʂʅ6	
仁	ʐən2	
仆	pʰu7	
仇	ʈʂʰəu2	
今	tɕin1	
介	kai5	
从	tsʰoŋ2	
倉	tsʰaŋ1	
仔	tsai3	牛～裤
他	tʰa1	
仗	ʈʂaŋ5	
付	fu5	
仙	ɕiɛn1	
代	tʰai6	
令	lin6	
以	i3	
儀	ȵi2	
仰	ȵiaŋ3	
件	tɕʰiɛn6	
價	tɕia5	
任	ʐən6	
份	fən6	
仿	faŋ3	
伊	i1	
伍	u3	
伏	fu6	
休	ɕiəu1	
衆	ʈʂoŋ5	
優	iəu1	
伙	xo3	
會	kʰuei6	～计
會	xuei6	
傘	san3	
偉	uei3	
傳	ʈʂʰʯan2	
傳	ʈʂʰʯan6	～记
伢	ŋa2	
傷	ʂaŋ1	
僞	uei3	
伯	pe7	
估	ku3	
伴	pʰon6	
伶	lin2	
伸	ʂən1	
但	tʰan6	
位	uei6	
低	ti1	
低	ti3	
住	ʈʂʰʯ6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	xo2	
佘	ʂe1	
余	ʯ2	
作	tso7	
你	n̩3	
佣	ioŋ6	
佯	iaŋ2	
佳	tɕia1	
使	sɿ3	
侄	ʈʂʰʅ6	
侉	kʰua3	
例	li6	
供	koŋ1	
供	koŋ5	
依	i1	
側	tsʰe7	
僑	tɕʰiau2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	～宜
便	kin3	
便	pʰiɛn6	
促	tsʰəu7	
俄	ŋo2	
俏	tɕʰiau5	
俗	səu7	
俘	fu2	
保	pau3	
信	ɕin5	
儉	tɕʰiɛn6	
修	ɕiəu1	
俱	ʈʂʰʯ6	
倒	tau3	
倒	tau5	
倔	ʈʂʯe7	
倘	tʰaŋ3	
候	xəu6	
借	tɕie5	
倡	ʈʂʰaŋ5	
倦	ʈʂʰʯan6	
倪	ȵi2	
債	ʈʂai5	
值	ʈʂʰʅ6	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiɛn1	
做	tso5	
停	tʰin2	
健	tɕʰiɛn6	
偶	ŋiəu3	
偷	tʰəu1	
傅	fu5	
傣	tai3	
儲	ʈʂʰʯ2	
催	tsʰei1	
傲	ŋau6	
傻	ʂa3	
像	tɕʰiaŋ6	
僧	tsən1	
僵	tɕiaŋ1	
僻	pʰi7	
儒	ʯ2	
兒	ʐo2	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	ʈʂʰoŋ1	
兆	ʈʂʰau6	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰie7	
免	niɛn3	
兌	tei6	
黨	taŋ3	
兜	təu1	
入	ɳʯ7	
全	tɕʰiɛn2	
八	pa7	
公	koŋ1	
六	ləu7	
蘭	lan2	
共	kʰoŋ6	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	ʈʂʰʯ6	
典	tiɛn3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɛn1	
獸	ʂəu5	
內	nei6	
岡	kaŋ5	
冊	tsʰe7	
再	tsai5	
冒	mau6	
軍	ʈʂʯən1	
農	noŋ2	
冠	kon1	
冤	ʯan1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	ʈʂʰoŋ1	
冲	ʈʂʰoŋ5	
决	ʈʂʯe7	
况	kʰuaŋ5	
冶	ie3	
凍	toŋ5	
淨	tɕʰin6	
準	ʈʂʯən3	
凉	liaŋ2	
凌	lin2	
減	tɕiɛn3	
湊	tsʰəu5	
几	tɕi1	～乎
几	tɕi3	
凡	fan2	
鳳	foŋ6	
凭	pʰin2	
凱	kʰai3	
凰	xuaŋ2	
凳	tən1	
凳	tən5	
凶	ɕioŋ1	
出	ʈʂʰʯ7	
擊	tɕi7	
凼	tʰaŋ6	
函	xon2	
鑿	tsʰo6	
刀	tau1	
刁	tiau1	
分	fən1	
切	tɕʰie7	
刑	ɕin2	
划	xua2	
划	xua6	
列	lie7	
劉	liəu2	
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰəu1	
刪	ʂan1	
判	pʰon5	
利	li6	
别	pʰie6	
刮	kua7	
到	tau5	
刷	ʂʯa7	
券	ʈʂʯan5	
刺	tsʰɿ5	
刻	kʰie7	
剁	to5	
剃	tʰi5	
削	ɕio7	
前	tɕʰiɛn2	
劍	tɕiɛn5	
剔	tʰi1	
剝	po7	
劇	ʈʂʯ5	
剩	ʂən6	
剪	tɕiɛn3	
副	fu5	
割	ko7	
剿	tɕiau3	
力	li7	
勸	ʈʂʰʯan5	
辦	pʰan6	
功	koŋ1	
加	tɕia1	
劣	lie7	
動	tʰoŋ6	
助	tsʰəu6	
努	nəu3	
劫	tɕie7	
勵	li6	
勁	tɕin5	
勞	lau2	
勢	ʂʅ5	
勇	ioŋ3	
勉	niɛn3	
募	mu6	
勤	tɕʰin2	
勾	kiəu1	
勻	ʯən1	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
化	xua5	
北	pe7	
匙	ʈʂʰʅ2	
匠	tɕʰiaŋ6	
匪	fei3	
匹	pʰi2	
區	ʈʂʰʯ1	
醫	i1	
匾	piɛn3	
十	ʂʅ6	
千	tɕʰiɛn1	
升	ʂən1	
午	u3	
半	pon5	
華	xua2	
卒	tsəu7	
單	tan1	
單	ʂan6	
賣	mai6	
南	non2	
博	po7	
卜	pʰo1	
占	ʈʂan1	
卡	kʰa3	
盧	ləu2	
卦	kua5	
衛	uei6	
卯	mau3	
印	in5	
危	uei2	
即	tɕi7	
卻	tɕʰio7	
卵	lon3	
廠	ʈʂʰaŋ3	
厄	ŋie7	
廳	tʰin1	
历	li7	
厲	li6	
壓	ŋa7	
廁	sɿ1	茅～
廁	tsʰe7	
厚	xəu6	
原	ʯan2	
廂	ɕiaŋ1	
厦	ɕia6	～门
廚	ʈʂʰʯ2	
去	tɕʰi5	
縣	ɕiɛn6	
参	tsʰon1	
参	sən1	人～
又	iəu6	
叉	ʈʂʰa1	
及	tɕi7	
友	iəu3	
雙	ʂʯaŋ1	
反	fan3	
发	fa7	
叔	ʂʯ7	
取	tɕʰi3	
受	ʂəu6	
變	piɛn5	
叛	pʰon5	
疊	tʰie6	
口	kʰiəu3	
古	ku3	
句	ʈʂʯ5	
另	lin6	
叩	kʰiəu5	
只	ʈʂʅ7	
叫	tɕiau5	
召	ʈʂau1	
召	ʈʂʰau6	
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu6	
葉	ie7	
號	xau2	
號	xau6	
司	sɿ1	
嘆	tʰan5	
吃	tɕʰi7	
各	ko7	
合	xo6	
吉	tɕi7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu6	
吏	li6	
向	ɕiaŋ5	
吕	ʯ3	
君	ʈʂʯən1	
吞	tʰən1	
否	fu3	
含	xon2	
启	tɕʰi3	
吴	u2	
吵	ʈʂʰau3	
吸	ɕi7	
吹	ʈʂʰʯei1	
吻	pʰau2	
吼	xəu3	
呈	ʈʂʰən2	
告	kau5	
員	ʯan2	
周	ʈʂəu1	
味	uei6	
呸	pʰe5	
呼	xu1	
命	min5	
和	xo2	
咒	ʈʂəu5	
咪	mi1	
咬	ŋau3	
咳	kʰie7	
咸	xan2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	
哈	xa1	
哉	tsai1	
響	ɕiaŋ3	
啞	ŋa3	
哥	ko1	
哪	na3	
哭	kʰu7	
哼	xən1	
唆	so1	
脣	ʈʂʰʯən2	
唐	tʰaŋ2	
售	ʈʂʰəu6	
唯	uei2	
唱	ʈʂʰaŋ5	
啃	kʰin3	
啄	ʈʂo1	
商	ʂaŋ1	
啼	tʰi2	
喂	uei5	
善	ʂan6	
喉	xəu2	
喊	xan3	
喘	ʈʂʰʯan3	
喜	ɕi3	
喝	xo7	
噴	pʰən1	
噴	pʰən5	
喻	ʯ6	
嗓	saŋ3	
嗽	səu5	
嘉	tɕia1	
囑	ʈʂʯ7	
嘴	tsei1	
器	tɕʰi5	
嚏	tʰi5	
嚷	ʐaŋ3	
嚼	tɕʰio6	
囊	naŋ2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰon2	
囥	kʰaŋ5	
園	ʯan2	
困	kʰuən5	
圍	uei2	
固	ku5	
國	ko7	
圖	tʰəu2	
圃	pʰu3	
圓	ʯan2	
圈	ʈʂʰʯan1	
土	tʰəu3	
聖	ʂən5	
在	tsʰai6	
地	tʰi6	
場	ʈʂʰaŋ3	
址	ʈʂʅ3	
均	ʈʂʯən1	
坍	tʰan1	
坎	kʰan3	
壞	xuai6	
坐	tsʰo6	
坑	kʰin1	
塊	kʰuai5	
堅	tɕiɛn1	
坛	tʰon2	
墳	fən2	
墜	ʈʂʯei5	
坡	pʰo1	
坤	kʰuən1	鸡你太美
坦	tʰan3	
坪	pʰin2	
坳	ŋau5	
壠	loŋ3	
型	ɕin2	
垠	uei1	
墾	kʰin3	
垮	kʰua3	
埂	kin3	
埋	mai2	
城	ʈʂʰən2	
埠	pʰu5	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
堡	pau3	
堤	tʰi2	
堪	kʰon1	
堵	təu3	
塌	tʰa7	
塑	so7	
塔	tʰa7	
塘	tʰaŋ2	
塞	sai1	
塞	sai5	～外
塞	se7	
境	tɕin5	
墓	mu6	
牆	tɕʰiaŋ2	
增	tsən1	
墨	me7	
墩	tən1	
壁	pi7	
壕	xau2	
士	sɿ6	
壯	ʈʂʯaŋ5	
聲	ʂən1	
殼	kʰo7	
壺	xu2	
處	ʈʂʰʯ3	
處	ʈʂʰʯ5	
備	pʰi6	
夏	ɕia6	
外	uai6	
多	to1	
夜	ie6	
够	kiəu5	
大	ta6	
大	tʰai6	～夫
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	
失	ʂʅ7	
頭	tʰəu2	
夷	i2	
夾	ka7	
奪	tʰo6	
奈	nai6	
奉	foŋ6	
奮	fən5	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
獎	tɕiaŋ3	
套	tʰau5	
奠	tiɛn5	
奧	ŋau5	
女	ɳʯ3	
奴	nəu2	
奶	nai1	祖母
奶	nai3	
好	xau3	
好	xau5	
如	ʯ2	
妃	fei1	
妄	uaŋ6	
妝	ʈʂʯaŋ1	
婦	fu6	
媽	ma1	
妓	tɕʰi6	
妖	iau1	
妙	miau6	
妥	tʰo3	
妨	faŋ2	
妹	mei6	
妻	tɕʰi1	
妾	tɕʰie7	
姆	mu3	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
姿	tsʰɿ2	
威	uei1	
嬌	tɕiau1	
娘	ȵiaŋ2	
娛	ʯ2	
婆	pʰo2	
婊	piau3	
婚	xuən1	
嬰	in1	
嬸	ʂən3	
媒	mei2	
媳	ɕi7	
嫁	ka5	
嫂	sau3	
嫌	ɕiɛn2	
嫖	pʰiau2	
嫩	lən6	
嬉	ɕi3	
子	tsɿ3	
孔	kʰoŋ3	
孕	ʯən6	
字	tsʰɿ6	
存	tsʰən2	
孫	sən1	
孝	ɕiau5	
孟	ʯ2	
孟	moŋ6	
季	tɕi5	
孤	ku1	
學	ɕio6	
孩	xai2	
孬	nau1	
孽	ȵie7	
宅	ʈʂʰai6	
宇	ʯ3	
守	ʂəu3	
安	ŋon1	
宋	soŋ5	
完	xon2	
宏	xoŋ2	
宗	tsoŋ1	
官	kon1	
宙	ʈʂʰəu6	
定	tʰin6	
宜	ȵi2	
寶	pau3	
實	ʂʅ6	
寵	ʈʂʰoŋ3	
審	ʂən3	
客	kʰie7	
宣	ɕiɛn1	
室	ʂʅ7	
宮	koŋ1	
宰	tsai3	
害	xai6	
宴	iɛn5	
宵	ɕiau1	
家	ka1	
容	ioŋ2	
寬	kʰon1	
賓	pin1	
宿	səu7	
寄	tɕʰi2	
寄	tɕi5	
寅	in2	
寇	kʰiəu5	
富	fu5	
寒	xon2	
寓	ʯ3	
寢	tɕʰin3	
寞	mo7	
察	ʈʂʰa7	
寡	kua3	
寨	ʈʂʰai6	
寸	tsʰən5	
對	tei6	
寺	sɿ6	
尋	tɕʰin2	
導	tʰau6	
壽	ʂəu6	
封	foŋ1	
射	ʂe6	
將	tɕiaŋ1	～军
將	tɕiaŋ5	
尊	tsən1	
小	ɕiau3	
少	ʂau3	
少	ʂau5	
尖	tɕiɛn1	
尘	ʈʂʰən2	
尚	ʂaŋ6	
嘗	ʂaŋ2	
尤	iəu2	
堯	ȵiau2	
就	tɕʰiəu6	
屍	ʂʅ1	
尹	in3	
尺	ʈʂʰʅ7	
尼	ȵi2	
尽	tɕʰin6	
尾	uei3	
尿	ȵiau6	
局	ʈʂʯ7	
屁	pʰi5	
層	tsʰən2	
屄	pi1	
居	ʈʂʯ1	
屈	ʈʂʰʯ7	
屉	tʰi5	
屆	kai5	
屋	u7	
屌	tiau3	
屎	ʂʅ3	
屏	pʰin2	
展	ʈʂan3	
屬	ʂʯ7	
屠	tʰəu2	
屯	tʰən2	
山	ʂan1	
歲	sei5	
豈	tɕʰi2	
岑	tsʰən2	
岔	ʈʂʰa5	
崗	kaŋ3	
島	tau3	
岭	lin3	
岳	io7	
岸	ŋon6	
峽	ɕia7	
峯	foŋ1	
崔	tsʰei1	
崖	ŋai2	
崩	pən1	
崽	tsai3	
嵌	kʰan5	
嶙	lin2	
川	ʈʂʰʯan1	
州	ʈʂəu1	
巡	ʂʯən2	
巢	ʈʂʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
鞏	koŋ3	
巫	u1	
差	tsʰɿ1	参～
差	ʈʂʰa1	
差	ʈʂʰai1	出～
己	tɕi3	
已	i3	
已	tsʰɿ6	
巴	pa1	
巷	xaŋ6	
巾	tɕin1	
幣	pʰi6	
市	ʂʅ6	
布	pu5	
帥	ʂʯai5	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	ʈʂaŋ5	
帖	tʰie7	
帚	ʈʂəu3	
帝	ti7	
帶	tai1	
帶	tai5	
席	ɕi6	
幫	paŋ1	
常	ʈʂʰaŋ2	
帽	mau6	
幕	mu6	
平	pʰin2	
年	ȵiɛn2	
并	pin5	
幸	ɕin6	
幽	iəu1	
廣	kuaŋ3	
莊	ʈʂʯaŋ1	
慶	tɕʰin5	
牀	ʈʂʰʯaŋ2	
序	ɕi6	
廬	ləu2	
庫	kʰu5	
應	in5	
廟	miau6	
庚	kin1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tʰəu6	
座	tsʰo6	
庭	tʰin2	
庵	ŋon1	
康	kʰaŋ1	
庸	ioŋ1	
廉	liɛn2	
廊	laŋ2	
延	iɛn2	
廷	tʰin2	
建	tɕiɛn5	
開	kʰai1	
异	i6	
弃	tɕʰi5	
弄	noŋ6	
弄	loŋ6	
弊	pi5	
式	ʂʅ5	～样
弓	koŋ1	
引	in3	
弟	tʰi6	
張	ʈʂaŋ1	
弦	ɕiɛn2	
彎	uan1	
弱	ʐo7	
彈	tʰan2	
彈	tʰan6	
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	
歸	kuei1	
當	taŋ1	
當	taŋ5	
录	ləu7	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彭	pʰən2	
影	in3	
徹	ʈʂʰe7	
彼	pi3	
往	uaŋ3	
征	ʈʂən1	
徑	tɕin5	
待	tai1	
很	xən3	
律	li7	
徐	tɕʰi2	
徒	tʰəu2	
得	te7	
微	uei2	
德	te7	
徽	xuei1	
心	ɕin1	
必	pi7	
憶	i5	
忍	ʯən3	
志	ʈʂʅ5	
忘	uaŋ6	
忙	maŋ1	
忠	ʈʂoŋ1	
憂	iəu1	
快	kʰuai5	
念	ȵiɛn6	
懷	xuai2	
態	tʰai6	
怎	tsən3	
怒	nəu6	
怕	pʰa5	
憐	liɛn2	
思	sɿ1	
怠	tai6	
急	tɕi7	
性	sən1	
性	ɕin5	
怨	ʯan5	
怪	kuai5	
怯	tɕʰie7	
總	tsoŋ3	
恐	kʰoŋ3	
恆	xən2	
恕	ʂʯ5	
恢	xuei1	
恨	xən6	
恩	ŋin1	
恭	koŋ1	
息	ɕi7	
恰	ɕi7	
恰	ko7	
懇	kʰin3	
恶	u5	
恶	uo7	
惱	nau3	
悄	tɕʰiau1	
悔	xuei5	
悟	u5	
悠	iəu1	
